Case number,Annual weight,Total expenditure,Gross normal weekly household income - anonymised,Main source of household income - code,Internet connection in household,Economic position of household reference person,NS - SEC 8 Class of household reference person,Tenure type,Sex of household reference person,Number of persons in household,Number of adults,Number of children,Government Office Region modified,Annual weight r,Main income,Income,Expenditure,Household size
10426,4.886450373496498,625.4674103484358,1184.99,Earned income,No,Full-time working,Routine and manual occupations,Owned,Male,3 person,3 adults,No children,North West and Merseyside,0.9364424548200491,earnings,1184.99,625.4674,3
10425,4.597493520040892,730.8086838184166,810.082,Earned income,Yes,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Wales,0.8810665797974152,earnings,810.082,730.80865,2
10424,4.280775867975903,509.1247600646088,767.33,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,South West,0.8203706076878372,earnings,767.33,509.12476,2
10421,4.245176918208905,371.0767801016815,842.37,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.8135484023320567,earnings,842.37,371.07678,2
10417,4.58869374804732,853.4413374071061,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,3 person,2 adults,One child,Eastern,0.879380185900485,earnings,1184.99,853.44135,3
10416,4.936397989073037,154.0147216041866,326.72,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,1 person,1 adult,No children,East Midlands,0.9460144476098652,earnings,326.72,154.01472,1
10412,3.8290964573687427,438.40835080527086,733.7,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Male,4 person,2 adults,Two or more children,West Midlands,0.7338104784056922,earnings,733.7,438.40836,4
10406,4.497544063237383,156.75100588977702,138.85,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,North West and Merseyside,0.8619122023796751,other source,138.85,156.751,1
10406,4.293695936278512,442.7780142925396,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,Wales,0.8228466177877987,earnings,1184.99,442.778,2
10394,4.108240250983155,343.3814989291178,578.29,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Male,2 person,2 adults,No children,South East,0.7873057724043531,other source,578.29,343.3815,2
10390,5.196961032448455,1175.0,857.21,Earned income,No,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,3 person,2 adults,One child,West Midlands,0.9959489148250236,earnings,857.21,1175.0,3
10389,4.142257427624525,569.0854747190732,563.49,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.7938248457531525,earnings,563.49,569.08545,2
10387,3.928157615893155,148.055,148.582,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,Northern Ireland,0.7527946217767301,other source,148.582,148.055,1
10385,2.77079995261687,524.9881792985766,491.684,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.5309978637084131,other source,491.684,524.98816,2
10383,7.576790799250215,527.6180001244671,895.83,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,4 person,4 and more adults,No children,Eastern,1.4520210036699595,earnings,895.83,527.618,4
10382,7.565793336900483,644.3666925782069,990.44,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,South East,1.4499134429965856,earnings,990.44,644.3667,2
10376,4.260229735338225,999.6354008,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,4 and more adults,No children,Northern Ireland,0.816433133772489,earnings,1184.99,999.6354,4
10369,3.761911037130165,528.0296289276911,437.892,Other income,Yes,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,North East,0.7209350217761571,other source,437.892,528.0296,2
10367,8.35104537608653,370.6710979481264,586.67,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Public rented,Female,3 person,3 adults,No children,South East,1.6003996427984382,earnings,586.67,370.6711,3
10367,4.482563371149735,234.0706662905472,227.95,Other income,Yes,Economically inactive,Routine and manual occupations,Private rented,Female,2 person,1 adult,One child,Wales,0.8590412930280629,other source,227.95,234.07066,2
10363,4.21385151885045,721.7640076197155,1184.99,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,5 person or more,2 adults,Two or more children,Wales,0.8075451828923267,earnings,1184.99,721.76404,5
10361,5.640426776810178,491.2122352691114,812.03,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,5 person or more,3 adults,Two or more children,Yorkshire and the Humber,1.0809349718882693,earnings,812.03,491.21225,5
10359,5.80917389069872,459.81918248506145,934.3,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,2 adults,One child,Yorkshire and the Humber,1.113273776029344,earnings,934.3,459.81918,3
10359,6.808239975255113,385.9673496471891,549.35,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,South West,1.3047354353605936,earnings,549.35,385.96735,2
10357,4.580450956548168,309.3265553289138,334.1,Earned income,No,Part-time working,Routine and manual occupations,Owned,Female,1 person,1 adult,No children,North West and Merseyside,0.8778005320994553,earnings,334.1,309.32657,1
10355,7.255338153638503,445.2071562582764,704.2375,Earned income,Yes,Full-time working,Intermediate occupations,Public rented,Male,1 person,1 adult,No children,London,1.390417614388092,earnings,704.2375,445.20715,1
10354,5.039851221602762,796.1786513373373,894.882,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,5 person or more,3 adults,Two or more children,South East,0.9658402908343579,earnings,894.882,796.17865,5
10351,5.43967222340011,280.255,323.5,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Male,1 person,1 adult,No children,Northern Ireland,1.0424622416971905,other source,323.5,280.255,1
10347,5.827336027812282,260.155,521.02,Other income,Yes,Part-time working,Intermediate occupations,Public rented,Female,3 person,1 adult,Two or more children,Northern Ireland,1.1167543795274684,other source,521.02,260.155,3
10345,2.712337695515335,525.594010256837,448.95,Other income,Yes,Part-time working,Routine and manual occupations,Owned,Female,2 person,2 adults,No children,East Midlands,0.5197941196058594,other source,448.95,525.594,2
10344,5.252739301072277,364.6028080057378,332.02,Earned income,Yes,Part-time working,Intermediate occupations,Owned,Female,1 person,1 adult,No children,Scotland,1.0066382976700863,earnings,332.02,364.6028,1
10334,4.609028830910307,400.34,202.472,Other income,No,Economically inactive,"Higher managerial, administrative and professional occupations",Private rented,Female,4 person,1 adult,Two or more children,London,0.8832772141028933,other source,202.472,400.34,4
10333,7.209196502539663,518.4781921940739,616.0,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,4 person,2 adults,Two or more children,South East,1.381574999049398,earnings,616.0,518.4782,4
10330,3.80520279987643,725.7712544626254,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,North East,0.7292314826999157,earnings,1184.99,725.77124,4
10329,3.733927465699625,206.30031518153564,978.99,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,North West and Merseyside,0.7155722323641988,earnings,978.99,206.30031,2
10328,5.75980763235417,1175.0,673.69,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,5 person or more,2 adults,Two or more children,Yorkshire and the Humber,1.1038131949089076,earnings,673.69,1175.0,5
10328,6.224329143596695,564.3332613146706,624.242,Other income,Yes,Part-time working,Routine and manual occupations,Public rented,Male,4 person,2 adults,Two or more children,North West and Merseyside,1.1928343925177163,other source,624.242,564.33325,4
10325,7.635831553586875,249.06753388275604,208.767,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,South East,1.463335611350276,other source,208.767,249.06754,1
10318,4.36696530875136,237.9765402367376,341.5,Earned income,No,Full-time working,Intermediate occupations,Owned,Female,1 person,1 adult,No children,North West and Merseyside,0.8368880068897415,earnings,341.5,237.97655,1
10317,4.624030396045082,242.9275177676029,404.21,Earned income,Yes,Part-time working,Intermediate occupations,Owned,Female,1 person,1 adult,No children,Yorkshire and the Humber,0.8861521235785215,earnings,404.21,242.92752,1
10312,5.704316146239,609.0839072700794,448.49,Earned income,Yes,Full-time working,Routine and manual occupations,Public rented,Male,4 person,2 adults,Two or more children,Scotland,1.0931787712460475,earnings,448.49,609.0839,4
10311,6.040720946286222,176.7759334420676,276.394,Other income,Yes,Economically inactive,Not classified for other reasons,Private rented,Male,2 person,2 adults,No children,South East,1.1576476009057364,other source,276.394,176.77594,2
10309,6.242224245143355,370.9697072132928,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Scotland,1.1962638211501035,earnings,1184.99,370.9697,2
10307,5.123441816408167,355.3161968374817,600.03,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,3 adults,No children,West Midlands,0.9818596455430458,earnings,600.03,355.3162,3
10307,5.00360818938035,161.85418825605865,170.5,Other income,Yes,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Owned,Male,1 person,1 adult,No children,South West,0.9588946531075201,other source,170.5,161.85419,1
10303,5.77581438117888,725.2698010085737,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,2 person,2 adults,No children,South West,1.1068807384256492,earnings,1184.99,725.2698,2
10302,4.342617565809975,142.55,204.042,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.8322219899599422,other source,204.042,142.55,2
10300,7.687690408085475,377.72421555387024,575.814,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,3 person,3 adults,No children,London,1.4732738751816705,other source,575.814,377.7242,3
10299,4.06150118205115,324.240163761252,665.8775,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,Eastern,0.7783486675324639,earnings,665.8775,324.24017,2
10298,4.234630856042305,346.7027402659063,283.9525,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,South East,0.8115273482766342,earnings,283.9525,346.70273,1
10297,4.114536427345922,261.4934166373949,271.82,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,South East,0.7885123756436102,other source,271.82,261.4934,1
10296,5.382216330362205,262.23404166397785,408.9,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,Scotland,1.0314513578433155,earnings,408.9,262.23404,1
10296,5.321861559534577,272.7277926580347,369.1775,Earned income,No,Part-time working,Routine and manual occupations,Public rented,Male,1 person,1 adult,No children,Yorkshire and the Humber,1.0198849312076383,earnings,369.1775,272.72778,1
10294,3.764509695904735,1044.870465336156,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,West Midlands,0.7214330303951123,earnings,1184.99,1044.8705,2
10291,4.159284969808377,127.905,237.032,Other income,Yes,Economically inactive,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.7970880147579343,other source,237.032,127.905,2
10286,6.149529408555913,286.035,350.49,Other income,Yes,Economically inactive,Routine and manual occupations,Public rented,Male,4 person,2 adults,Two or more children,London,1.1784997237607393,other source,350.49,286.035,4
10284,5.267511315067457,591.6437293824275,1052.1,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,2 adults,One child,East Midlands,1.0094692158194472,earnings,1052.1,591.64374,3
10283,5.088403441658865,700.5559177747236,304.362,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Scotland,0.975144869139891,other source,304.362,700.5559,2
10281,5.088403441658865,272.6875023593915,734.3545,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Scotland,0.975144869139891,other source,734.3545,272.6875,2
10279,4.9896381315876175,873.4416563691175,877.73,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,2 adults,One child,North West and Merseyside,0.9562174223544236,earnings,877.73,873.44165,3
10274,5.106067017355607,390.80757000981214,196.522,Other income,No,Economically inactive,Not classified for other reasons,Private rented,Female,1 person,1 adult,No children,Scotland,0.9785299280112699,other source,196.522,390.80756,1
10255,3.9550665966342575,669.707680491876,184.862,Other income,Yes,Full-time working,Intermediate occupations,Public rented,Male,2 person,2 adults,No children,South West,0.7579514759460834,other source,184.862,669.7077,2
10248,3.646065933846525,165.39642005428317,442.24,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Wales,0.6987343925655939,other source,442.24,165.39642,2
10247,7.421520036213797,553.3856712477888,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Eastern,1.4222648159701419,earnings,1184.99,553.3857,2
10246,4.037408254113613,1175.0,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,East Midlands,0.7737314835119321,earnings,1184.99,1175.0,2
10246,3.869635020406615,182.1506427881562,210.02,Earned income,No,Full-time working,Routine and manual occupations,Public rented,Female,1 person,1 adult,No children,West Midlands,0.7415793143877302,earnings,210.02,182.15065,1
10246,5.1984119644536175,230.19984922804863,76.16,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Female,1 person,1 adult,No children,Scotland,0.9962269723565317,earnings,76.16,230.19984,1
10241,4.624030396045082,269.07812716267443,374.5495,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,Yorkshire and the Humber,0.8861521235785215,other source,374.5495,269.07812,1
10239,9.923931536105815,743.1804657679941,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,London,1.9018285460427773,earnings,1184.99,743.1805,2
10238,5.090614981057947,316.49306158550326,452.844,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.975568689955721,other source,452.844,316.49307,2
10237,3.1554692805250677,409.26310685738326,470.55,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,2 person,2 adults,No children,North West and Merseyside,0.6047161381585381,other source,470.55,409.2631,2
10235,5.22977161490379,208.67530864126095,338.9,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,Wales,1.0022367556972442,other source,338.9,208.67531,1
10230,4.130040592014807,371.46858818700144,656.8,Earned income,Yes,Full-time working,Routine and manual occupations,Public rented,Male,5 person or more,2 adults,Two or more children,East Midlands,0.7914836036133472,earnings,656.8,371.4686,5
10229,6.332757656077082,99.22130931709522,162.042,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,West Midlands,1.2136137015536466,other source,162.042,99.221306,1
10227,6.761756483282992,497.50427093348327,1184.99,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,2 person,2 adults,No children,South East,1.2958273094197108,earnings,1184.99,497.50427,2
10226,5.278045970009058,696.541730657195,910.525,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,South West,1.0114880837870217,earnings,910.525,696.54175,4
10225,3.3690261192424926,1175.0,1184.99,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,3 adults,No children,Eastern,0.6456423064415194,earnings,1184.99,1175.0,3
10224,5.556000830361392,148.155,40.102,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,South East,1.0647555298597942,other source,40.102,148.155,1
10219,5.57904910211508,280.80105592197805,1119.619,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,1.0691725153053948,other source,1119.619,280.80106,2
10219,4.470189539335368,588.0640715502998,1032.9925,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,East Midlands,0.8566699640358307,earnings,1032.9926,588.0641,2
10217,4.119450757146985,162.565,172.63,Other income,Yes,Economically inactive,Routine and manual occupations,Public rented,Female,2 person,1 adult,One child,Yorkshire and the Humber,0.7894541609296458,other source,172.63,162.565,2
10210,4.476590450039607,467.5169981571541,132.662,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,Scotland,0.8578966386308441,other source,132.662,467.517,1
10207,4.566189553752625,670.2741880123377,1184.99,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,Eastern,0.8750674678048763,earnings,1184.99,670.2742,2
10198,6.258097150131795,1004.096400159166,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,South West,1.1993057147490074,earnings,1184.99,1004.0964,2
10194,4.176613866905417,128.0088982179575,274.91,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,West Midlands,0.8004089356097847,other source,274.91,128.0089,1
10187,3.705945019778,773.5772449944144,1176.3,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,3 person,3 adults,No children,East Midlands,0.710209658645484,earnings,1176.3,773.5773,3
10182,8.027508081462326,663.5907795497599,370.3,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,4 person,3 adults,One child,London,1.5383967500550635,earnings,370.3,663.59076,4
10182,4.65789887670306,710.120749096913,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,North East,0.8926427007345701,earnings,1184.99,710.1207,2
10181,4.876123160034037,534.6567671809954,811.9925,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.9344633410693619,earnings,811.9925,534.65674,2
10181,5.18879187631038,1154.6134363663843,1184.99,Other income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,3 adults,No children,South West,0.9943833725513846,other source,1184.99,1154.6134,3
10179,6.959479386938655,236.86012008320728,221.77,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,West Midlands,1.3337190523253015,other source,221.77,236.86012,1
10171,4.027906540985852,133.48,282.522,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,East Midlands,0.7719105691699761,other source,282.522,133.48,1
10170,4.529863117800293,437.11578233623806,309.5415384615385,Earned income,Yes,Part-time working,Routine and manual occupations,Public rented,Male,4 person,2 adults,Two or more children,East Midlands,0.8681058465342353,earnings,309.54153,437.11578,4
10170,7.943973258803383,251.5420158770916,338.01,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,1 person,1 adult,No children,North West and Merseyside,1.5223880835559656,earnings,338.01,251.54202,1
10168,5.118978711120235,362.99089615934565,393.21,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,East Midlands,0.9810043332094508,earnings,393.21,362.9909,1
10168,5.406588920616603,351.5860920545071,376.6,Earned income,Yes,Full-time working,Routine and manual occupations,Public rented,Male,5 person or more,2 adults,Two or more children,South East,1.0361221365279705,earnings,376.6,351.5861,5
10166,5.4440332460778125,188.8261624556627,112.192,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Male,1 person,1 adult,No children,Yorkshire and the Humber,1.0432979908544897,other source,112.192,188.82616,1
10165,3.928157615893155,202.845,136.3145,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,Northern Ireland,0.7527946217767301,other source,136.3145,202.845,1
10164,4.44811100472644,441.1020844137476,314.544,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,West Midlands,0.8524388196329008,other source,314.544,441.10208,2
10163,5.187580869317823,845.3672210616969,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,4 and more adults,No children,South West,0.9941512944017599,earnings,1184.99,845.36725,4
10163,3.5764691455264326,1175.0,1184.99,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,5 person or more,3 adults,Two or more children,Scotland,0.6853968198245401,earnings,1184.99,1175.0,5
10163,4.637012136204555,1175.0,173.15,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,East Midlands,0.8886399525123234,earnings,173.15,1175.0,2
10152,3.6127701960963323,926.2980907438491,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,3 person,2 adults,One child,North West and Merseyside,0.6923535762243599,earnings,1184.99,926.2981,3
10152,6.224329143596695,461.75028816639826,737.31,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,4 person,2 adults,Two or more children,North West and Merseyside,1.1928343925177163,earnings,737.31,461.75027,4
10149,4.402767052146827,403.3830939025044,1084.37,Earned income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,London,0.8437490757453532,earnings,1084.37,403.3831,2
10141,4.789144138752962,914.5209938987083,1006.45,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,Yorkshire and the Humber,0.9177946261575981,earnings,1006.45,914.521,4
10139,4.216105421604243,1020.3395758672036,1184.99,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,West Midlands,0.8079771222483745,earnings,1184.99,1020.3396,2
10138,4.20899154992151,332.75418685648134,421.55,Earned income,Yes,Part-time working,Routine and manual occupations,Public rented,Male,3 person,2 adults,One child,West Midlands,0.80661381535837,earnings,421.55,332.75418,3
10136,7.087991424072655,392.6429857885987,661.56,Earned income,Yes,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Female,4 person,4 and more adults,No children,London,1.3583471807885352,earnings,661.56,392.64297,4
10135,3.8219741246978676,339.4892877277862,383.97,Other income,No,Part-time working,Routine and manual occupations,Private rented,Female,2 person,1 adult,One child,North West and Merseyside,0.7324455500465433,other source,383.97,339.4893,2
10133,9.345596944792895,891.0165431972971,850.72,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,5 person or more,4 and more adults,One child,London,1.7909961374433023,earnings,850.72,891.01654,5
10130,5.213148655998637,667.7901471580938,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,3 adults,No children,West Midlands,0.999051121289097,earnings,1184.99,667.79016,3
10128,6.20203014904037,1121.1485280349634,986.76,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,3 person,3 adults,No children,North East,1.1885609990303694,earnings,986.76,1121.1486,3
10126,5.161470905970742,442.2861648372628,790.914,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.9891475644335568,other source,790.914,442.28616,2
10122,5.941859948615737,961.5622723065815,776.52,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,4 person,2 adults,Two or more children,South West,1.1387018164879434,earnings,776.52,961.56226,4
10118,4.558345460654002,547.5508978605616,746.13,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,Eastern,0.8735642208186892,earnings,746.13,547.5509,4
10117,5.9000617376588,350.8662780987474,639.41,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Eastern,1.1306915807782143,other source,639.41,350.86627,2
10117,4.799275636080035,416.72367949069,559.25,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Male,5 person or more,3 adults,Two or more children,North West and Merseyside,0.9197362327437256,earnings,559.25,416.7237,5
10115,3.3739653885460976,261.5320452708638,879.464,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,2 person,2 adults,No children,West Midlands,0.6465888711496709,other source,879.464,261.53204,2
10105,3.608896752353,127.77684310951155,317.5,Other income,Yes,Full-time working,Intermediate occupations,Public rented,Female,3 person,1 adult,Two or more children,Scotland,0.6916112670038903,other source,317.5,127.77684,3
10099,3.959727702839325,392.32439481974274,658.563076923077,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,Scotland,0.7588447333012639,earnings,658.56305,392.3244,4
10097,6.106770247339948,548.0249756163156,909.33,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,Scotland,1.170305330932705,earnings,909.33,548.02496,2
10092,7.09191422455504,438.0320121876081,682.72,Earned income,Yes,Part-time working,Routine and manual occupations,Owned,Male,4 person,3 adults,One child,Wales,1.359098948765842,earnings,682.72,438.032,4
10090,5.789773155707732,299.77338767735546,311.54,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Male,1 person,1 adult,No children,North West and Merseyside,1.1095558068468854,earnings,311.54,299.77338,1
10082,4.966322404041225,191.03230641039883,269.58,Other income,Yes,Economically inactive,"Higher managerial, administrative and professional occupations",Public rented,Female,4 person,1 adult,Two or more children,London,0.9517491815107464,other source,269.58,191.0323,4
10079,4.333539404085963,1097.2013849608206,236.83,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,South East,0.8304822452781593,other source,236.83,1097.2014,1
10077,5.119892601272623,153.1451811659024,101.45,Earned income,No,Part-time working,Intermediate occupations,Public rented,Female,1 person,1 adult,No children,South East,0.9811794716990137,earnings,101.45,153.14519,1
10075,5.6236707237754375,185.82743600272028,348.08,Earned income,Yes,Part-time working,Routine and manual occupations,Public rented,Male,1 person,1 adult,No children,Scotland,1.0777238312365494,earnings,348.08,185.82744,1
10071,4.332655510398747,596.6945280472539,746.6845,Other income,Yes,Economically inactive,Intermediate occupations,Owned,Male,3 person,3 adults,No children,North West and Merseyside,0.8303128553302442,other source,746.6845,596.6945,3
10067,4.827384680191122,186.84758263653976,611.32,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,North West and Merseyside,0.9251230678199196,earnings,611.32,186.84758,1
10067,4.635250483199215,238.42191017444156,384.6625,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,South East,0.8883023482108843,other source,384.6625,238.4219,1
10063,2.97368053196357,902.3855737529237,424.274,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,3 person,2 adults,One child,North East,0.5698780268610356,other source,424.274,902.38556,3
10056,6.57242158098092,137.0014098979449,191.96,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Male,2 person,2 adults,No children,West Midlands,1.259543048423932,other source,191.96,137.0014,2
10054,3.362965591293665,425.9059387408492,663.97,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,West Midlands,0.6444808630140598,earnings,663.97,425.90594,1
10051,3.760333575399645,445.76896842779513,557.12,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,South East,0.7206327160076743,earnings,557.12,445.76898,2
10050,5.46914473372574,187.355,226.482,Other income,Yes,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,London,1.0481103723051954,other source,226.482,187.355,2
10049,3.761794653678245,441.436811910575,892.339,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,South West,0.7209127179774717,earnings,892.339,441.4368,2
10049,5.13998275047776,917.2296824715087,1153.02,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,South East,0.985029560659581,earnings,1153.02,917.2297,4
